,get angry easily (1983),get angry easily (1988),get angry easily (1992),get angry easily (2000),jealousy (1983),jealousy (1988),jealousy (1992),jealousy (2000),not home enough (1983),not home enough (1988),not home enough (1992),not home enough (2000),not talking (1983),not talking (1988),not talking (1992),not talking (2000),sex with others (1983),sex with others (1988),sex with others (1992),sex with others (2000),marital instability (1983),marital instability (1988),marital instability (1992),marital instability (2000),income_combined_2000,income_combined_1992,income_combined_1988,income_combined_1983
1909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000119209289,0.0,0.0,"\$30,000 - \$39,999","\$25,000 - \$29,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
1911,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3000000119209289,0.6000000238418579,0.8500000238418579,0.0,"\$70,000 - \$79,999","\$25,000 - \$29,999","\$20,000 - \$29,999","\$20,000 - \$29,999"
1913,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.699999988079071,0.4799999892711639,0.699999988079071,"\$30,000 - \$39,999","\$25,000 - \$29,999","\$20,000 - \$29,999","Under \$20,000"
1916,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7799999713897705,0.3000000119209289,0.4799999892711639,"\$100,000 or More","\$80,000 - \$89,999","Under \$20,000","Under \$20,000"
1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,"\$100,000 or More","\$50,000 - \$59,999","Under \$20,000","Under \$20,000"
1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
1921,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4799999892711639,"\$25,000 - \$29,999","Under \$20,000","\$25,000 - \$29,999","\$20,000 - \$29,999"
1924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
1928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.699999988079071,0.8999999761581421,0.3000000119209289,0.3000000119209289,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$50,000 - \$59,999","\$25,000 - \$29,999"
1930,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7799999713897705,0.8500000238418579,0.6000000238418579,0.3000000119209289,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
1936,2.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0800000429153442,0.6000000238418579,1.1100000143051147,0.3000000119209289,"\$50,000 - \$59,999","\$50,000 - \$59,999","\$50,000 - \$59,999","\$50,000 - \$59,999"
